ID,Group,Canon[1],Canon[2],Canon[3],Canon[4]
Aniakchak,Ash-Flow,-0.501201614,-0.726772355,-0.508909952,-1.514081425
Apoyeque,Ash-Flow,-0.23288431,0.062874311,0.239793155,-0.023331955
Cerro,Ash-Flow,0.97222187,-2.970747961,1.196741507,2.817984234
Chaiten,Ash-Flow,0.078728473,-0.348415025,-0.788047453,1.196699515
Fisher,Ash-Flow,0.889500158,1.38145899,1.392067032,3.027470186
Incapillo,Ash-Flow,-0.344564919,-1.249085997,-0.030752123,-1.527804198
Maninjau,Ash-Flow,2.709198377,-0.924221646,-0.965278968,-0.22737123
Segara,Ash-Flow,1.944761577,0.996056809,-0.266996403,0.066847405
Semisopochnoi,Ash-Flow,0.990409606,-1.27976355,1.625026601,0.93735105
Coatepeque,Ash-Flow,1.500635963,-2.042960583,-0.781313628,-0.136256388
Crater_Lake,Ash-Flow,1.765263897,-1.282669168,2.244793929,-0.020999564
Novarupta,Ash-Flow,0.183642686,-0.073489646,0.150853038,-0.8089173
Valles,Ash-Flow,-1.141669236,-0.125334418,0.01392507,0.278325996
Aira,Ash-Flow,-0.757970276,-1.794388093,4.251024701,0.808673549
Towada,Ash-Flow,-0.247148082,-1.565826956,0.114549538,0.681634434
Akan_B,Ash-Flow,-0.684994878,-1.919776172,-2.754873231,0.064181176
Mashu,Ash-Flow,0.469627603,0.479053482,-0.379390645,-1.303544466
Kutcharo,Ash-Flow,-0.186372285,-1.117338771,-0.294876372,-0.394612355
Akan,Ash-Flow,2.136371287,-1.682804408,1.466480026,-3.3038474
Uzon,Ash-Flow,2.630697432,-1.1080542,-0.677473761,1.470322174
Krasheninnikov,Ash-Flow,-0.30647994,-2.30907635,-0.357479843,1.000819797
Tien-Chi,Ash-Flow,-0.612974056,-0.664763726,-2.719788749,1.032670085
Long_Valley,Ash-Flow,1.182152299,-0.238433312,0.952601033,1.597611958
Apoyo_B,Ash-Flow,0.212101493,0.596188539,-0.969310605,-0.776768631
Diamante,Ash-Flow,1.108902673,-0.440430432,1.614985189,-1.562362297
Torfajokull,Ash-Flow,1.996302123,-0.711051035,-0.162211092,-0.700742309
Old_YS_Caldera,Ash-Flow,0.830428629,-0.086729728,-0.617022553,0.251475297
Henrys_Fork,Ash-Flow,0.724725268,0.344824451,-0.049299754,1.465636874
West_Thumb,Ash-Flow,2.214473583,-1.999662418,-0.734427075,0.998273089
Yellowstone,Ash-Flow,0.958435636,-0.08505563,-0.345996388,-0.765827853
Whakamaru,Ash-Flow,1.703878129,-1.163512158,-0.067681198,-0.092806499
Maysaya,Ash-Flow,2.305656385,-1.532671976,1.546714214,-0.237656632
Mangakino,Ash-Flow,2.086412415,-0.594386279,-0.207459884,0.772804435
Taupo,Ash-Flow,2.873556964,-2.7127781,0.479711366,1.786222891
Reporoa,Ash-Flow,-1.220085887,-1.108881885,1.529456687,-0.021063987
Kapenga,Ash-Flow,1.976592663,-5.952905019,0.309313189,0.546895362
Rotorua,Ash-Flow,-0.21583064,0.167435107,0.24095079,0.916289526
Ohakuri,Ash-Flow,0.647949873,-8.540484572,2.575061959,2.506992161
Cerro_Azul,Basaltic Shield,1.585137437,2.104160491,-1.166659877,0.012795508
Fernandina,Basaltic Shield,-0.272955054,-0.545100685,0.339642406,-1.394466478
Isla_Tortuga,Basaltic Shield,-0.882959573,0.360410535,0.176108502,-0.259205581
Las_Canadas_Teide,Basaltic Shield,0.411015115,-0.587307212,6.443725022,-1.021771863
Mat'ala,Basaltic Shield,-0.260009638,1.180607393,-0.420472518,0.150045175
Nyamuragira,Basaltic Shield,-1.010579347,0.077799111,0.273711289,0.798064544
Reunion,Basaltic Shield,0.553363191,-0.030962932,0.088033764,-0.33565667
Sierra_Negra,Basaltic Shield,0.525921054,0.838157138,-0.189579429,0.196837138
Volcan_Alcedo,Basaltic Shield,-0.359961902,-0.752820025,-0.03041154,0.233862731
Volcan_Darwin,Basaltic Shield,-0.324286728,-1.071804597,1.178171926,-0.861635818
Volcan_Wolf,Basaltic Shield,0.734780665,1.22370423,2.250600715,-1.874765245
Erta_Ale,Basaltic Shield,2.180462415,-1.058928322,0.993810247,-1.093093071
Karthala,Basaltic Shield,1.004241529,1.664099483,1.597151043,-1.828833331
Kilauea,Basaltic Shield,1.613905627,0.925522097,1.172620085,0.811511646
Silali,Basaltic Shield,0.670052448,0.241162387,0.781416442,-1.087979833
Olmoti,Basaltic Shield,-1.438902784,-1.482186502,1.526793368,-0.986251912
Ngurdoto,Basaltic Shield,0.019087577,0.280637865,-0.018307086,0.64724984
Emi_Koussi,Basaltic Shield,0.406232926,0.560209647,-0.440372024,-2.596485342
Embagai,Basaltic Shield,0.239084905,-1.186141779,1.417998166,-3.358466485
Donguinyo,Basaltic Shield,-2.328573357,-0.283933333,0.002546086,0.456521157
Deriba,Basaltic Shield,-0.342642395,-2.532301114,-0.871285922,-1.538883603
Barrier,Basaltic Shield,0.072670394,-0.785453791,0.251365944,-0.138729335
