ID,Group,X1,Y1,X2,Y2,X3,Y3,X4,Y4,X5,Y5,X6,Y6,X7,Y7,X8,Y8,X9,Y9,X10,Y10,X11,Y11,X12,Y12,X13,Y13,X14,Y14,X15,Y15,X16,Y16,X17,Y17,X18,Y18,X19,Y19,X20,Y20,X21,Y21,X22,Y22,X23,Y23,X24,Y24,X25,Y25,X26,Y26,X27,Y27,X28,Y28,X29,Y29,X30,Y30,X31,Y31,X32,Y32,X33,Y33,X34,Y34,X35,Y35,X36,Y36,X37,Y37,X38,Y38,X39,Y39,X40,Y40,X41,Y41,X42,Y42,X43,Y43,X44,Y44,X45,Y45,X46,Y46,X47,Y47,X48,Y48,X49,Y49,X50,Y50,X51,Y51,X52,Y52,X53,Y53,X54,Y54,X55,Y55,X56,Y56,X57,Y57,X58,Y58,X59,Y59,X60,Y60,X61,Y61,X62,Y62,X63,Y63,X64,Y64,X65,Y65,X66,Y66,X67,Y67,X68,Y68,X69,Y69,X70,Y70,X71,Y71,X72,Y72,X73,Y73,X74,Y74,X75,Y75,X76,Y76,X77,Y77,X78,Y78,X79,Y79,X80,Y80,X81,Y81,X82,Y82,X83,Y83,X84,Y84,X85,Y85,X86,Y86,X87,Y87,X88,Y88,X89,Y89,X90,Y90,X91,Y91,X92,Y92,X93,Y93,X94,Y94,X95,Y95,X96,Y96,X97,Y97,X98,Y98,X99,Y99
Ash-Flow_Aniakchak,Ash_flow,8420.196799,4253.247285,8001.036197,4721.720899,7594.203848,5190.194513,7347.638788,5732.637645,6953.134692,6176.454753,6879.165174,6805.195656,6792.867403,7421.608306,6435.348066,7902.410173,6016.187464,8370.883787,5621.683368,8851.685654,5202.522766,9320.159268,4955.957706,9887.258906,4623.094875,10405.04553,4166.949514,10799.54963,3673.819394,11132.41246,3476.567346,11699.5121,3612.178129,12315.92475,3735.460659,12920.00914,3969.697466,13499.43704,4339.545056,13992.56716,4771.033911,14448.71252,4955.957706,15040.46866,5239.507525,15570.58354,5387.446561,16162.33968,5412.103067,16717.11107,5153.209754,17284.21071,5276.492284,17863.6386,5757.294151,18270.47095,6225.767765,18664.97504,6706.569632,19071.80739,7212.028005,19416.99848,8111.990474,19762.18956,8370.883787,20316.96094,8679.090112,20847.07582,9085.922461,21278.56468,9554.396075,21673.06877,10146.15222,21857.99257,10737.90836,22018.25986,11366.64927,22030.58811,11970.73366,22141.54239,12587.14631,22203.18365,13191.23071,22264.82492,13758.33035,22499.06173,14374.743,22511.38998,14880.20137,22153.87064,15459.62926,21956.61859,16063.71366,21833.33606,16630.8133,21636.08402,17210.24119,21389.51896,17728.02781,21056.65612,18295.12745,20797.76281,18837.57058,20526.54125,19441.65498,20415.58697,19971.76986,20095.05239,20378.60221,19626.57878,20834.74757,19207.41817,21229.25167,18726.61631,21599.09926,18233.48619,21636.08402,17629.40179,21463.48847,17037.64565,21327.87769,16445.8895,21599.09926,15915.77462,21784.02305,15336.34673,21993.60335,14756.91884,22338.79444,14239.13222,22720.97028,13746.0021,22967.53534,13191.23071,22794.9398,12599.47457,22388.10745,12118.6727,21944.29034,11699.5121,21771.6948,11107.75595,21673.06877,10491.3433,21586.771,9874.930653,21537.45799,9258.518003,21475.81673,8629.7771,21352.5342,8025.692703,21167.6104,7433.936559,20921.04534,6854.508668,20551.19775,6373.706801,20058.06763,5991.530958,19552.60926,5621.683368,18973.18137,5399.774814,18393.75348,5190.194513,17765.01257,5153.209754,17148.59992,5079.240236,16692.45456,4660.079634,16174.66794,4327.216803,15681.53782,3945.04096,15077.45342,3834.086683,14461.04077,3858.743189,13832.29987,3834.086683,13215.88722,3760.117165,12611.80282,3710.804153,11995.39017,3723.132406,11378.97752,3649.162888,10750.23662,3723.132406,10146.15222,3834.086683,9554.396075,4019.010478,8925.655172,4019.010478
Ash-Flow_Apoyeque,Ash_flow,2885.157134,861.651376,2793.492094,863.943002,2701.827054,877.692758,2612.45364,898.317392,2520.7886,918.942026,2429.12356,932.691782,2344.333398,964.774546,2254.959984,992.274058,2167.878196,1024.356822,2087.671286,1070.189342,2009.756002,1118.313488,1934.132344,1171.020886,1858.508686,1226.01991,1782.885028,1278.727308,1704.969744,1331.434706,1640.804216,1395.600234,1574.347062,1462.057388,1507.889908,1526.222916,1439.141128,1585.805192,1370.392348,1649.97072,1303.935194,1714.136248,1267.269178,1798.92641,1237.47804,1886.008198,1205.395276,1973.089986,1182.479016,2062.4634,1171.020886,2154.12844,1159.562756,2245.79348,1143.521374,2337.45852,1122.89674,2426.831934,1106.855358,2518.496974,1120.605114,2610.162014,1138.938122,2699.535428,1161.854382,2788.908842,1173.312512,2880.573882,1223.728284,2958.489166,1269.560804,3038.696076,1331.434706,3107.444856,1391.016982,3176.193636,1471.223892,3222.026156,1553.722428,3263.275424,1638.51259,3302.233066,1718.7195,3345.77396,1801.218036,3389.314854,1881.424946,3432.855748,1952.465352,3492.438024,2007.464376,3565.770056,2057.880148,3643.68534,2115.170798,3717.017372,2193.086082,3762.849892,2264.126488,3822.432168,2319.125512,3895.7642,2392.457544,3950.763224,2477.247706,3982.845988,2568.912746,3987.42924,2653.702908,3955.346476,2724.743314,3895.7642,2788.908842,3829.307046,2866.824126,3781.1829,2933.28128,3714.725746,3004.321686,3657.435096,3091.403474,3632.22721,3178.485262,3602.436072,3251.817294,3545.145422,3318.274448,3480.979894,3389.314854,3421.397618,3448.89713,3350.357212,3531.395666,3309.107944,3611.602576,3263.275424,3696.392738,3222.026156,3772.016396,3171.610384,3847.640054,3116.61136,3898.055826,3040.987702,3895.7642,2951.614288,3870.556314,2862.240874,3840.765176,2775.159086,3820.140542,2683.494046,3815.55729,2591.829006,3856.806558,2513.913722,3872.84794,2422.248682,3840.765176,2337.45852,3799.515908,2252.668358,3774.308022,2165.58657,3758.26664,2073.92153,3744.516884,1982.25649,3714.725746,1895.174702,3666.6016,1817.259418,3639.102088,1730.17763,3623.060706,1638.51259,3581.811438,1556.014054,3522.229162,1487.265274,3462.646886,1418.516494,3407.647862,1342.892836,3357.23209,1264.977552,3302.233066,1191.64552,3219.73453,1150.396252,3167.027132,1074.772594,3105.15323,1008.31544,3052.445832,934.983408,2972.238922,889.150888
Ash-Flow_Cerro,Ash_flow,538.7388,3390.339,526.354,3582.3034,551.1236,3768.0754,671.8754,3913.5968,696.645,4096.2726,752.3766,4278.9484,805.012,4461.6242,922.6676,4604.0494,1096.0548,4687.6468,1278.7306,4737.186,1427.3482,4851.7454,1479.9836,5034.4212,1575.9658,5192.3274,1761.7378,5229.4818,1944.4136,5285.2134,2123.9932,5353.3298,2247.8412,5498.8512,2353.112,5659.8536,2464.5752,5808.4712,2526.4992,5991.147,2616.289,6158.3418,2786.58,6241.9392,2956.871,6325.5366,3136.4506,6387.4606,3322.2226,6362.691,3492.5136,6285.286,3681.3818,6254.324,3873.3462,6269.805,4062.2144,6285.286,4235.6016,6226.4582,4427.566,6217.1696,4616.4342,6176.919,4805.3024,6158.3418,4972.4972,6071.6482,5059.1908,5913.742,5195.4236,5789.894,5272.8286,5613.4106,5353.3298,5443.1196,5489.5626,5306.8868,5678.4308,5285.2134,5805.375,5148.9806,5960.185,5034.4212,6121.1874,4929.1504,6173.8228,4749.5708,6176.919,4557.6064,6183.1114,4374.9306,6269.805,4207.7358,6430.8074,4102.465,6563.944,3963.136,6641.349,3799.0374,6759.0046,3650.4198,6780.678,3461.5516,6718.754,3281.972,6601.0984,3130.2582,6570.1364,2947.5824,6489.6352,2789.6762,6319.3442,2709.175,6155.2456,2616.289,6164.5342,2449.0942,6198.5924,2281.8994,6099.514,2117.8008,6099.514,1928.9326,5975.666,1798.8922,5796.0864,1730.7758,5635.084,1628.6012,5446.2158,1600.7354,5257.3476,1610.024,5065.3832,1603.8316,4873.4188,1588.3506,4703.1278,1501.657,4551.414,1387.0976,4371.8344,1315.885,4189.1586,1257.0572,4012.6752,1182.7484,3823.807,1161.075,3631.8426,1167.2674,3464.6478,1238.48,3393.4352,1408.771,3350.0884,1597.6392,3251.01,1761.7378,3145.7392,1922.7402,3028.0836,2074.454,2904.2356,2223.0716,2758.7142,2346.9196,2600.808,2452.1904,2424.3246,2529.5954,2238.5526,2572.9422,2049.6844,2603.9042,1857.72,2607.0004,1687.429,2538.884,1538.8114,2415.036,1362.328,2359.3044,1170.3636,2371.6892,981.4954,2396.4588,839.0702,2517.2106,814.3006,2696.7902,770.9538,2882.5622,644.0096,3021.8912,582.0856,3201.4708
Ash-Flow_Chaiten,Ash_flow,757.174784,3661.649932,795.625066,3797.704776,872.52563,3918.97105,973.087906,4019.533326,1073.650182,4117.137888,1162.381602,4220.657878,1265.901592,4315.304726,1387.167866,4389.247576,1458.153002,4510.51385,1532.095852,4631.780124,1668.150696,4664.314978,1807.163254,4687.97669,1922.5141,4767.834968,1966.87981,4900.932098,2023.076376,5019.240658,2147.300364,5090.225794,2247.86264,5184.872642,2321.80549,5306.138916,2437.156336,5385.997194,2573.21118,5418.532048,2715.181452,5397.82805,2818.701442,5465.855472,2942.92543,5530.92518,3078.980274,5557.544606,3212.077404,5595.994888,3339.259106,5658.106882,3478.271664,5669.937738,3614.326508,5625.572028,3750.381352,5610.783458,3847.985914,5714.303448,3945.590476,5817.823438,4072.772178,5874.020004,4214.74245,5868.104576,4353.755008,5838.527436,4486.852138,5791.204012,4614.03384,5720.218876,4735.300114,5652.191454,4841.777818,5557.544606,4868.397244,5433.320618,4903.889812,5332.758342,4930.509238,5193.745784,4960.086378,5057.69094,5084.310366,4995.578946,5119.802934,4859.524102,5110.929792,4720.511544,5214.449782,4622.906982,5288.392632,4504.598422,5359.377768,4383.332148,5415.574334,4253.192732,5424.447476,4111.22246,5383.03948,3975.167616,5353.46234,3836.155058,5326.842914,3697.1425,5350.504626,3567.003084,5329.800628,3436.863668,5264.73092,3333.343678,5170.084072,3244.612258,5110.929792,3114.472842,5031.071514,3010.952852,4903.889812,2957.714,4841.777818,2839.40544,4794.454394,2703.350596,4741.215542,2605.746034,4608.118412,2558.42261,4475.021282,2505.183758,4338.966438,2460.818048,4217.700164,2389.832912,4096.43389,2309.974634,3957.421332,2298.143778,3818.408774,2268.566638,3691.227072,2230.116356,3646.861362,2094.061512,3540.383658,2067.442086,3401.3711,2097.019226,3265.316256,2061.526658,3129.261412,2052.653516,2999.121996,2026.03409,2877.855722,1949.133526,2741.800878,1907.72553,2602.78832,1872.232962,2466.733476,1833.78268,2324.763204,1827.867252,2191.666074,1866.317534,2064.484372,1937.30267,1958.006668,2028.991804,1845.613536,2117.723224,1727.304976,2197.581502,1608.996416,2277.43978,1499.560998,2369.128914,1393.083294,2463.775762,1289.563304,2564.338038,1221.535882,2688.562026,1159.423888,2818.701442,1073.650182,2922.221432,952.383908,2999.121996,896.187342,3123.345984,863.652488,3262.358542,854.779346,3401.3711,777.878782,3522.637374
Ash-Flow_Fisher,Ash_flow,25602.60681,27956.20968,26133.60258,27296.05277,26693.30082,26664.59835,27324.75525,26090.54887,27841.39978,25401.68949,27884.45349,24598.02022,27884.45349,23794.35095,28415.44926,23119.84281,28645.06905,22301.8223,28745.52771,21455.09932,28874.68884,20608.37633,28386.74679,20005.62438,27783.99483,19474.62861,27913.15597,18642.25686,27554.37504,17867.29007,27252.99906,17063.62079,27080.78422,16231.24905,26965.97432,15370.17483,26592.84216,14652.61298,26147.95381,13949.40236,25530.85062,13361.00165,25100.31351,12614.73732,24755.88383,11825.41929,24511.9128,11007.39878,24282.293,10189.37827,23937.86332,9400.060235,23378.16507,8768.605807,22918.92549,8051.043957,22258.76859,7534.399425,21455.09932,7276.077159,20608.37633,7103.862315,19776.00459,6874.242523,18943.63284,6802.486338,18426.98831,6328.895517,18183.01728,5510.875008,17838.58759,4793.313158,17020.56708,4534.990892,16188.19534,4319.722337,15585.44338,3745.672857,15068.79885,3071.164718,14509.10061,2454.061527,13719.78257,2152.68555,12987.86949,1693.445966,12184.20021,1478.177411,11351.82847,1679.094729,10519.45672,1822.607099,9830.597345,2324.900394,9141.737969,2798.491215,8395.473645,3200.325851,7878.829113,3774.375331,7563.101899,4563.693366,7089.511078,5252.552742,6601.56902,5884.00717,6199.734384,6630.271494,6127.978199,7462.64324,5884.00717,8237.610038,5381.713875,8926.469414,4951.176765,9672.733738,4592.39584,10433.3493,4520.639655,11294.42352,4204.912441,12083.74155,4276.668626,12858.70835,4979.879239,13332.29917,5654.387378,13805.88999,5970.114592,14609.55927,5640.036141,15384.52606,5396.065112,16202.54657,5482.172534,17034.91832,6041.870777,17666.37275,6831.188812,17996.4512,7476.994477,18570.50068,7993.639009,19245.00882,8122.800142,20063.02933,8567.688489,20766.23994,9170.440443,21368.99189,9471.81642,22143.95869,10002.81219,22789.76436,10576.86167,23421.21878,11394.88218,23665.18981,12141.1465,24067.02445,12715.19598,24698.47888,13289.24546,25315.58207,14121.61721,25516.49939,14925.28648,25301.23083,15772.00946,25329.93331,16590.02997,25372.98702,17350.64553,25014.20609,18197.36852,24856.34248,18972.33531,25172.0697,19661.19469,25645.66052,20364.4053,26104.9001,20823.64489,26822.46195,20694.48375,27626.13123,20823.64489,28286.28813,21598.61169,28558.96163,22344.87601,28185.82947,23162.89652,28042.3171,23980.91703,28300.63936,24827.64001,28300.63936
Ash-Flow_Incapillo,Ash_flow,552.08547,5811.426,742.5711,5879.22597,945.97101,5914.74024,1123.54236,6011.59734,1310.79942,6092.31159,1494.82791,6182.71155,1678.8564,6269.88294,1872.5706,6318.31149,2079.19908,6295.7115,2279.37042,6302.16864,2469.85605,6376.42575,2657.11311,6460.36857,2854.05588,6521.7114,3054.22722,6560.45424,3260.8557,6576.59709,3461.02704,6557.22567,3657.96981,6495.88284,3851.68401,6431.31144,4038.94107,6344.14005,4216.51242,6240.82581,4348.88379,6092.31159,4426.36947,5905.05453,4594.25511,5808.19743,4794.42645,5853.39741,4991.36922,5824.34028,5172.16914,5730.71175,5369.11191,5672.59749,5553.1404,5598.34038,5708.11176,5462.74044,5863.08312,5330.36907,6008.36877,5185.08342,6131.05443,5030.11206,6211.76868,4839.62643,6282.79722,4649.1408,6382.88289,4471.56945,6492.65427,4300.45524,6608.88279,4145.48388,6676.68276,3951.76968,6705.73989,3751.59834,6692.82561,3548.19843,6805.82556,3383.54136,6767.08272,3189.82716,6692.82561,2999.34153,6628.25421,2805.62733,6618.5685,2602.22742,6650.8542,2398.82751,6676.68276,2198.65617,6631.48278,1998.48483,6447.45429,1927.45629,6256.96866,1862.88489,6150.42585,1701.45639,6156.88299,1494.82791,6072.94017,1310.79942,5930.88309,1165.51377,5740.39746,1088.02809,5540.22612,1042.82811,5359.4262,955.65672,5201.22627,826.51392,5020.42635,729.65682,4823.48358,677.9997,4620.08367,658.62828,4416.68376,668.31399,4213.28385,690.91398,4013.11251,719.97111,3819.39831,774.8568,3619.22697,820.05678,3415.82706,826.51392,3209.19858,842.65677,3012.25581,891.08532,2818.54161,962.11386,2628.05598,1036.37097,2437.57035,1110.62808,2243.85615,1181.65662,2043.68481,1217.17089,1866.11346,1317.25656,1707.91353,1446.39936,1543.25646,1569.08502,1388.2851,1707.91353,1272.05658,1872.5706,1142.91378,2033.9991,1007.31384,2188.97046,871.7139,2340.71325,752.25681,2508.59889,613.4283,2660.34168,519.79977,2834.68446,458.45694,3031.62723,416.48553,3231.79857,406.79982,3435.19848,368.05698,3638.59839,332.54271,3838.76973,303.48558,4042.16964,309.94272,4245.56955,322.857,4452.19803,338.99985,4655.59794,287.34273,4846.08357,297.02844,5052.71205,319.62843,5256.11196,368.05698,5456.2833,442.31409,5646.76893
Ash-Flow_Maninjau,Ash_flow,15503.03877,2890.616761,14893.80564,2877.654354,14271.61011,2955.428796,13714.22661,3227.639343,13156.84311,3512.812297,12586.4972,3772.060437,12145.77536,4212.782275,11679.12871,4627.579299,11173.59483,5003.489102,10784.72262,5496.060568,10512.51208,6053.444069,10538.43689,6675.639605,10512.51208,7297.835141,10512.51208,7920.030677,10629.17374,8542.226213,10629.17374,9164.421749,10369.9256,9721.80525,10045.86543,10240.30153,9942.166169,10836.57225,9994.015797,11458.76779,10136.60227,12080.96332,10227.33912,12703.15886,10019.94061,13286.46718,10084.75265,13895.7003,10071.79024,14517.89584,9981.05339,15140.09138,9890.316541,15762.28691,9799.579692,16371.52004,9423.669889,16864.09151,9060.722493,17382.58779,8736.662318,17914.04647,8542.226213,18510.3172,8282.978073,19080.6631,7958.917898,19612.12179,7570.045688,20104.69326,7427.459211,20700.96398,7466.346432,21336.12192,7427.459211,21958.31746,7388.57199,22580.51299,7453.384025,23202.70853,7816.331421,23695.28,8282.978073,24123.03943,8879.248795,24317.47553,9501.444331,24408.21238,10123.63987,24408.21238,10719.91059,24602.64849,11199.51965,25004.4831,11718.01593,25354.46809,12249.47462,25678.52827,12767.9709,26041.47566,13312.39199,26339.61102,13895.7003,26585.89676,14504.93343,26611.82157,15114.16656,26417.38547,15684.51247,26184.06214,16228.93356,25872.96437,16656.693,25406.31772,17201.11409,25134.10717,17408.5126,24550.79886,17823.30963,24110.07702,18199.21943,23617.50555,18717.71571,23293.44538,19132.51273,22826.79873,19482.49772,22308.30245,19728.78345,21737.95654,19962.10678,21154.64822,20169.50529,20584.30232,20156.54289,19962.10678,20402.82862,19443.6105,20376.9038,18821.41496,20247.27973,18212.18184,20389.86621,17615.91111,20636.15194,17032.6028,20765.77601,16423.36967,20960.21212,15827.09895,20999.09934,15204.90341,20921.3249,14582.70788,20856.51286,13960.51234,20830.58805,13338.3168,20726.88879,12716.12127,20584.30232,12106.88814,20558.3775,11484.6926,20571.33991,10849.53466,20493.56547,10227.33912,20415.79103,9605.143587,20402.82862,8982.948051,20350.97899,8360.752515,20350.97899,7738.556979,20363.9414,7116.361443,20234.31733,6507.128314,20078.76844,5923.819999,19676.93383,5444.21094,19197.32477,5042.376323,18717.71571,4640.541706,18289.95628,4173.895054,17823.30963,3759.09803,17291.85094,3422.075448,16721.50503,3175.789715,16112.2719,3020.240831
Ash-Flow_Segara-Anak,Ash_flow,10114.27109,2683.04619,10008.57533,2487.915558,9837.83603,2349.698027,9610.183626,2292.784926,9374.400779,2276.52404,9154.878818,2325.306698,8927.226414,2260.263154,8699.57401,2252.132711,8471.921606,2292.784926,8244.269202,2300.915369,8016.616798,2284.654483,7788.964394,2268.393597,7553.181547,2235.871825,7325.529143,2195.21961,7122.268068,2089.523851,6902.746107,2008.219421,6707.615475,1886.262776,6528.745729,1739.914802,6349.875983,1601.697271,6146.614908,1487.871069,5927.092947,1414.697082,5707.570986,1333.392652,5544.962126,1170.783792,5357.961937,1032.566261,5146.570419,959.392274,4918.918015,918.740059,4699.396054,894.34873,4488.004536,983.783603,4260.352132,1024.435818,4048.960614,1113.870691,3878.221311,1276.479551,3723.742894,1439.088411,3634.308021,1642.349486,3512.351376,1845.610561,3333.48163,1967.567206,3113.959669,2065.132522,2894.437708,2113.91518,2683.04619,2211.480496,2471.654672,2309.045812,2260.263154,2406.611128,2105.784737,2577.350431,1983.828092,2772.481063,1870.00189,2975.742138,1764.306131,3187.133656,1634.219043,3374.133845,1593.566828,3593.655806,1593.566828,3829.438653,1585.436385,4057.091057,1609.827714,4292.873904,1617.958157,4520.526308,1683.001701,4740.048269,1804.958346,4935.178901,1886.262776,5154.700862,1983.828092,5366.09238,2097.654294,5569.353455,2227.741382,5756.353644,2382.219799,5927.092947,2536.698216,6097.83225,2707.437519,6260.44111,2894.437708,6390.528198,3113.959669,6455.571742,3325.351187,6545.006615,3544.873148,6642.571931,3772.525552,6642.571931,3992.047513,6569.397944,4211.569474,6512.484843,4439.221878,6471.832628,4666.874282,6414.919527,4878.2658,6317.354211,5097.787761,6236.049781,5301.048836,6130.354022,5488.049025,6000.266934,5683.179657,5878.310289,5886.440732,5764.484087,6105.962693,5683.179657,6325.484654,5610.00567,6528.745729,5496.179468,6715.745918,5366.09238,6902.746107,5236.005292,7114.137625,5130.309533,7333.659586,5057.135546,7561.31199,5073.396432,7780.833951,5105.918204,8008.486355,5057.135546,8236.138759,5000.222445,8455.66072,4927.048458,8675.182681,4853.874471,8878.443756,4748.178712,9089.835274,4642.482953,9293.096349,4544.917637,9488.226981,4422.960992,9699.618499,4317.265233,9878.488245,4170.917259,10032.96666,4008.308399,10146.79286,3805.047324,10171.18419,3585.525363,10114.27109,3366.003402,10098.01021,3130.220555,10098.01021,2902.568151
Ash-Flow_Semisopochnoi,Ash_flow,4988.56844,9803.621456,4847.587158,10237.41002,4771.67416,10671.19858,4901.810728,11094.14242,5205.46272,11419.48384,5530.80414,11733.98055,5650.095994,12135.23497,5726.008992,12579.86824,5932.058558,12981.12266,6062.195126,13382.37708,5975.437414,13837.85506,5932.058558,14260.79891,6018.81627,14694.58747,6333.312976,15019.92889,6582.741398,15388.64917,6777.94625,15789.90358,7059.908814,16136.93443,7439.473804,16364.67343,7873.262364,16473.12057,8176.914356,16690.01485,8404.65335,17069.57984,8686.615914,17427.4554,9022.802048,17731.10739,9456.590608,17850.39924,9879.534454,17991.38053,10291.63359,18099.82767,10671.19858,18349.25609,10974.85057,18674.59751,11365.26027,18880.64707,11799.04883,18999.93893,12243.68211,19097.54135,12688.31538,19173.45435,13132.94865,19249.36735,13577.58193,19140.92021,14022.2152,19140.92021,14466.84848,19195.14378,14911.48175,19151.76492,15356.11502,19151.76492,15800.7483,19238.52264,16245.38157,19346.96978,16690.01485,19412.03806,17145.49283,19379.50392,17546.74725,19216.83321,17926.31224,18967.40479,18316.72195,18728.82108,18707.13165,18501.08208,18956.56007,18132.36181,19151.76492,17720.26268,19271.05678,17286.47412,19303.59092,16841.84084,19260.21206,16386.36285,19205.98849,15941.72958,19184.29907,15486.25159,19205.98849,15041.61832,19151.76492,14586.14033,19086.69664,14141.50706,19043.31778,13696.87378,19130.0755,13252.24051,19227.67792,12818.45195,19477.10634,12460.57639,19520.4852,12081.0114,19292.74621,11679.75698,18880.64707,11495.39684,18490.23737,11278.50256,18121.51709,11007.38471,17752.79682,10757.95629,17405.76597,10465.14901,17167.18226,10096.42873,16906.90913,9727.708458,16722.54899,9315.609326,16408.05228,9011.957334,16006.79786,8795.063054,15627.23287,8556.479346,15236.82317,8339.585066,14803.03461,8209.448498,14358.40134,8144.380214,13924.61278,8263.672068,13501.66893,8404.65335,13078.72508,8307.050924,12796.76252,7949.175362,12558.17881,7569.610372,12221.99268,7265.95838,11842.42769,7027.374672,11408.63913,6929.772246,10996.54,7114.132384,10551.90672,7200.890096,10118.11816,7331.026664,9695.174316,7482.85266,9261.385756,7602.144514,8816.752482,7688.902226,8372.119208,7764.815224,7960.020076,7938.330648,7569.610372,8166.069642,7179.200668,8415.498064,6810.480392,8664.926486,6387.536546,8838.44191,5975.437414,8990.267906,5628.406566,9283.075184,5216.307434,9424.056466
Ash-Flow_Coatepeque,Ash_flow,573.97357,3053.97258,465.67667,3335.54452,362.794615,3622.531305,308.646165,3920.34778,286.986785,4223.5791,265.327405,4526.81042,276.157095,4830.04174,308.646165,5133.27306,379.03915,5431.089535,438.602445,5728.90601,498.16574,6026.722485,649.7814,6292.04989,844.71582,6519.47338,1072.13931,6725.23749,1332.05187,6876.85315,1624.4535,6817.289855,1911.440285,6708.992955,2187.59738,6817.289855,2230.91614,7120.521175,2415.02087,7358.774355,2669.518585,7532.049395,2886.112385,7743.22835,3102.706185,7959.82215,3335.54452,8154.75657,3573.7977,8344.276145,3795.806345,8550.040255,4012.400145,8761.21921,4277.72755,8912.83487,4521.395575,9091.524755,4754.23391,9286.459175,4992.48709,9481.393595,5225.325425,9670.91317,5512.31221,9773.795225,5783.05446,9909.16635,6064.6264,10022.8781,6362.442875,10082.44139,6665.674195,10114.93046,6968.905515,10120.34531,7272.136835,10120.34531,7575.368155,10120.34531,7878.599475,10147.41953,8181.830795,10174.49376,8485.062115,10179.9086,8782.87859,10104.10077,9010.30208,9914.581195,9264.799795,9741.306155,9503.052975,9557.201425,9719.646775,9340.607625,9930.82573,9124.013825,10125.76015,8891.17549,10271.96097,8625.848085,10374.84302,8338.8613,10477.72508,8051.874515,10591.43682,7770.302575,10721.3931,7494.14548,10780.9564,7201.74385,10802.61578,6898.51253,10845.93454,6595.28121,10786.37124,6302.87958,10705.14857,6010.47795,10613.0962,5718.07632,10412.74694,5496.067675,10206.98283,5274.05903,10077.02655,5003.31678,9925.410885,4737.989375,9822.52883,4456.417435,9697.987395,4174.845495,9481.393595,3969.081385,9253.970105,3768.73212,8972.398165,3655.020375,8679.996535,3568.382855,8393.00975,3465.5008,8143.92688,3292.22576,7905.6737,3113.535875,7640.346295,2956.50537,7375.01889,2810.304555,7093.44695,2691.177965,6849.778925,2512.48808,6606.1109,2333.798195,6324.53896,2209.25676,6032.13733,2133.44893,5734.320855,2084.715325,5431.089535,2046.81141,5127.858215,2046.81141,4824.626895,2084.715325,4526.81042,2128.034085,4228.993945,2182.182535,3996.15561,2371.70211,3757.90243,2561.221685,3460.085955,2620.78498,3156.854635,2599.1256,2853.623315,2572.051375,2550.391995,2566.63653,2247.160675,2599.1256,1943.929355,2582.881065,1640.698035,2577.46622,1348.296405,2658.688895,1045.065085,2702.007655,763.493145,2815.7194
